"ID"	"EGLM_7b_t00_comp_Completion"	"EGLM_7b_t00_comp_Antecedens"	"EGLM_7b_t02_comp_Completion"	"EGLM_7b_t02_comp_Antecedens"	"EGLM_7b_t05_comp_Completion"	"EGLM_7b_t05_comp_Antecedens"	"EMG_70b_t00_comp_Completion"	"EMG_70b_t00_comp_Antecedens"	"EMG_70b_t05_comp_Completion"	"EMG_70b_t05_comp_Antecedens"	"GPT4_t05_comp_Completion"	"GPT4_t05_comp_Antecedens"	"SKLM_7b_t00_comp_Completion"	"SKLM_7b_t00_comp_Antecedens"	"SKLM_7b_t02_comp_Completion"	"SKLM_7b_t02_comp_Antecedens"	"SKLM_7b_t05_comp_Completion"	"SKLM_7b_t05_comp_Antecedens"
"11"	"ID_100011"	"Die Gäste mit köstlichen Speisen verwöhnt."	"Koch"	"Der hat ein köstliches Gericht zubereitet."	"Koch"	"die Gäste mit einem köstlichen Essen verwöhnt."	"Koch"	"Den Koch soll der Ober loben. Der hat den Service gut organisiert."	"Koch"	"Den Koch soll der Ober loben. Der hat eine hervorragende Leistung erbracht."	"Koch"	"Der hat ein außergewöhnliches Gericht kreiert."	"Koch"	"Der hat eine exzellente Arbeit geleistet."	"Koch"	"Der hat eine hervorragende Leistung gezeigt."	"Koch"	"Der hat einen tollen Job gemacht."	"Koch"
"12"	"ID_100012"	"Die Gäste mit köstlichen Speisen verwöhnt."	"Koch"	"Die Gäste mit köstlichen Speisen verwöhnt."	"Koch"	"Das beste Fleisch im ganzen Dorf gekauft."	"Koch"	"Den Koch soll der Ober loben. Der hat den Service gut organisiert."	"Koch"	"Den Koch soll der Ober loben. Der hat den Speiseplan für das heutige Mittagessen entworfen."	"Koch"	"Der hat ein exzellentes Fünf-Gänge-Menü zubereitet."	"Koch"	"Der hat eine exzellente Arbeit geleistet."	"Koch"	"Der hat einen tollen Job gemacht."	"Koch"	"Der hat den besten Kaffee zubereitet."	"Koch"
"13"	"ID_100013"	"einen seltenen Vogel entdeckt."	"Auf \"Abenteurer\""	"einen mysteriösen Schatz gefunden."	"Auf \"Abenteurer\""	"die Kreatur getötet."	"Auf \"Kreatur\""	"Den Abenteurer soll der Journalist fotografieren. Der hat eine neue Entdeckung gemacht."	"Auf \"Abenteurer\""	"Den Abenteurer soll der Journalist fotografieren. Der hat eine wunderschöne Landschaft entdeckt."	"Auf \"Abenteurer\""	"Der hat gerade einen seltenen Schmetterling entdeckt."	"Journalisten"	"Der hat eine einzigartige Persönlichkeit."	"Auf \"Abenteurer\""	"Der hat eine seltene Art von Vögeln entdeckt."	"Auf \"Journalist\""	"Der hat eine außergewöhnliche Geschichte zu erzählen."	"Auf \"Journalist\""
"14"	"ID_100014"	"einen seltenen Vogel entdeckt."	"Abenteurer"	"einen seltsamen Hut auf."	"Abenteurer"	"ein neues Buch über alte Ruinen geschrieben."	"Abenteurer"	"Den Abenteurer soll der Journalist fotografieren. Der hat eine neue Entdeckung gemacht."	"Abenteurer"	"Den Abenteurer soll der Journalist fotografieren. Der hat eine aufregende Geschichte zu erzählen."	"Abenteurer"	"Der hat gerade einen seltenen Schmetterling entdeckt."	"Abenteurer"	"Der hat eine einzigartige Persönlichkeit."	"Abenteurer"	"Der hat eine seltene Tierart entdeckt."	"Abenteurer"	"Den Abenteurer bereits einmal fotografiert."	"Journalist"
"15"	"ID_100015"	"einen seltenen Vogel entdeckt."	"Abenteurer"	"einen seltenen Vogel entdeckt."	"Abenteurer"	"einen seltsamen Hut auf und geht mit einem Stock."	"Abenteurer"	"Den Abenteurer soll der Journalist fotografieren. Der hat eine neue Entdeckung gemacht."	"Abenteurer"	"Den Abenteurer soll der Journalist fotografieren. Der hat eine erstaunliche Entdeckung gemacht."	"Abenteurer"	"Der hat gerade eine seltene Schmetterlingsart entdeckt."	"Abenteurer"	"Der hat eine einzigartige Persönlichkeit."	"Abenteurer"	"Der hat eine außergewöhnliche Geschichte zu erzählen."	"Journalist"	"Der hat einen wunderschönen Blick."	"Abenteurer"
"16"	"ID_100016"	"einen seltenen Vogel entdeckt."	"Abenteurer"	"einen ungewöhnlichen Hut auf."	"Abenteurer"	"eine alte Schatzkarte gefunden."	"Abenteurer"	"Den Abenteurer soll der Journalist fotografieren. Der hat eine neue Entdeckung gemacht."	"Abenteurer"	"Der hat einen Dschungel entdeckt."	"Abenteurer"	"Der hat gerade eine seltene Schmetterlingsart entdeckt."	"Journalist"	"Der hat eine einzigartige Persönlichkeit."	"Abenteurer"	"Der hat einen wunderschönen Blick."	"Journalist"	"Der hat eine seltene Tierart entdeckt."	"Journalist"
"17"	"ID_100017"	"einen seltenen Vogel entdeckt."	"Abenteurer"	"einen ungewöhnlichen Hut."	"Abenteurer"	"...einen mysteriösen Tempel entdeckt."	"Abenteurer"	"Den Abenteurer soll der Journalist fotografieren. Der hat eine neue Entdeckung gemacht."	"Abenteurer"	"Den Abenteurer soll der Journalist fotografieren. Der hat einen neuen Rekord aufgestellt."	"Abenteurer"	"Der hat gerade eine seltene Pflanze entdeckt."	"Abenteurer"	"Der hat eine einzigartige Persönlichkeit."	"Abenteurer"	"Der hat eine seltene Tierart entdeckt."	"Journalist"	"Der hat eine einzigartige Persönlichkeit."	"Abenteurer"
"18"	"ID_100018"	"einen seltenen Vogel entdeckt."	"Abenteurer"	"einen seltenen Vogel entdeckt."	"Abenteurer"	"Die Expedition angeführt."	"Abenteurer"	"Den Abenteurer soll der Journalist fotografieren. Der hat eine neue Entdeckung gemacht."	"Abenteurer"	"Den Abenteurer soll der Journalist fotografieren. Der hat die Quelle des Nils entdeckt."	"Abenteurer"	"Der hat gerade eine seltene Schmetterlingsart entdeckt."	"Abenteurer"	"Der hat eine einzigartige Persönlichkeit."	"Abenteurer"	"Der hat eine einzigartige Persönlichkeit."	"Journalist"	"Der hat seine Ausrüstung vergessen."	"Journalist"
"19"	"ID_100019"	"Der hat einen Unfall verursacht."	"Auf \"Raser\""	"Der hat einen Unfall verursacht."	"Auf \"Raser\""	"An einer roten Ampel angehalten."	"Auf \"Raser\""	"Den Raser will der Polizist prüfen. Der hat zu viel getrunken."	"Auf \"Raser\""	"Den Raser will der Polizist prüfen. Der hat einen Unfall verursacht."	"Auf \"Raser\""	"Der hat gerade die Geschwindigkeitsbegrenzung um 30 km/h überschritten."	"Raser"	"Der hat einen verdächtigen Schnurrbart."	"Auf \"Raser\""	"Der hat einen verdächtigen Verdacht auf ein Verbrechen gehabt."	"Auf \"Raser\""	"Der hat einen verdächtigen Rasen."	"Auf \"Raser\""
"20"	"ID_100020"	"Der hat einen Unfall verursacht."	"Raser"	"Der hat einen Unfall verursacht."	"Raser"	"Einen Unfall verursacht."	"Raser"	"Den Raser will der Polizist prüfen. Der hat zu viel getrunken."	"Raser"	"Den Raser will der Polizist prüfen. Der hat über 200 km/h gefahren."	"Raser"	"Der hat gerade versucht, mit überhöhter Geschwindigkeit zu fliehen."	"Raser"	"Der hat einen verdächtigen Schnurrbart."	"Raser"	"Der hat einen verdächtigen Aufenthalt in der Nähe eines Raubüberfalls gehabt."	"Raser"	"Der hat eine Schere in der Hand gehalten."	"Raser"
"21"	"ID_100021"	"Der hat einen Unfall verursacht."	"Raser"	"Der hat einen Unfall verursacht."	"Raser"	"Einen Unfall verursacht."	"Raser"	"Den Raser will der Polizist prüfen. Der hat zu viel getrunken."	"Raser"	"Den Raser will der Polizist prüfen. Der hat eine Geschwindigkeit von 200 km/h erreicht."	"Raser"	"Der hat möglicherweise Alkohol im Blut."	"Raser"	"Der hat einen verdächtigen Schnurrbart."	"Raser"	"Der hat einen verdächtigen Rasenmesser gefunden."	"Raser"	"Der hat einen Verdacht auf strafbare Handlungen."	"Raser"
"22"	"ID_100022"	"Der hat einen Unfall verursacht."	"Raser"	"Der hat einen Unfall verursacht."	"Raser"	"Der hat mit seinem Auto einen Unfall verursacht."	"Raser"	"Den Raser will der Polizist prüfen. Der hat zu viel getrunken."	"Raser"	"Der hat die Geschwindigkeitsbegrenzung überschritten."	"Raser"	"Der hat gerade die Geschwindigkeitsbegrenzung deutlich überschritten."	"Raser"	"Der hat einen verdächtigen Schnurrbart."	"Raser"	"Der hat einen schmutzigen Schuh."	"Raser"	"Der hat einen verdächtigen Aufmachung gehabt."	"Raser"
"23"	"ID_100023"	"Der hat einen Unfall verursacht."	"Raser"	"Der hat einen Unfall verursacht."	"Raser"	"Den hat er bei einer Geschwindigkeitsüberschreitung erwischt."	"Raser"	"Den Raser will der Polizist prüfen. Der hat zu viel getrunken."	"Raser"	"Den Raser will der Polizist prüfen. Der hat das Tempolimit überschritten."	"Raser"	"Der hat möglicherweise Alkohol im Blut."	"Raser"	"Der hat einen verdächtigen Schnurrbart."	"Raser"	"Der hat einen verdächtigen Körper gefunden."	"Raser"	"Der hat einen Verdacht auf illegale Aktivitäten."	"Raser"
"24"	"ID_100024"	"Der hat einen Unfall verursacht."	"Raser"	"Der hat einen Unfall verursacht."	"Raser"	"Die Kontrollleuchte an seinem Wagen blinkt."	"Wagen"	"Den Raser will der Polizist prüfen. Der hat zu viel getrunken."	"Raser"	"Den Raser will der Polizist prüfen. Der hat zu schnell gefahren."	"Raser"	"Der hat bereits mehrere rote Ampeln überfahren."	"Raser"	"Der hat einen verdächtigen Schnurrbart."	"Raser"	"Der hat einen Verdacht auf schwere Kriminalität."	"Raser"	"Der hat einen ungewöhnlichen Geruch."	"Raser"
"25"	"ID_100025"	"einen großen Hund."	"Auf \"Hund\""	"einen neuen Computer gekauft."	"Auf \"Direktor\""	"einen großen Hund."	"Auf \"Direktor\""	"Der hat die Schule verlassen."	"Auf \"Direktor\""	"Der hat die Schule verlassen."	"Auf \"Direktor\""	"Der hat gerade das Schulgebäude betreten."	"Direktor"	"Der hat einen neuen Job bekommen."	"Auf \"Direktor\""	"Der hat einen neuen Job bekommen."	"Auf \"Direktor\""	"Der hat eine Auszeichnung erhalten."	"Auf \"Direktor\""
"26"	"ID_100026"	"einen großen Hund."	"Hund"	"einen großen Hund."	"Hund"	"eine dicke Nase."	"Direktor"	"Der hat die Schule verlassen."	"Direktor"	"Der hat die Schule verlassen."	"Direktor"	"Der hat gerade das Schulgebäude betreten."	"Direktor"	"Der hat einen neuen Job bekommen."	"Direktor"	"Der hat einen neuen Job bekommen."	"Direktor"	"Der hat eine Prämie für seine guten Leistungen erhalten."	"Direktor"
"27"	"ID_100027"	"einen großen Hund."	"Hund"	"einen großen Hund."	"Hund"	"einen großen Hund."	"Hund"	"Der hat die Schule verlassen."	"Direktor"	"Der hat die Schule verlassen."	"Direktor"	"Der hat gerade das Schulgebäude durch den Haupteingang betreten."	"Direktor"	"Der hat einen neuen Job bekommen."	"Direktor"	"Der hat einen neuen Job bekommen."	"Direktor"	"Der hat einen besonderen Tag."	"Direktor"
"28"	"ID_100028"	"einen großen Hund."	"Hund"	"einen großen Hund."	"Hund"	"ein Tier im Zoo besucht."	"Direktor"	"Der hat die Schule verlassen."	"Direktor"	"Den Direktor will der Schüler begrüßen. Der hat sich verletzt."	"Direktor"	"Der hat gerade das Schulgebäude betreten."	"Direktor"	"Der hat einen neuen Job bekommen."	"Direktor"	"Der hat einen großen Lächeln auf den Lippen."	"Direktor"	"Der hat einen neuen Job in der Stadt gefunden."	"Direktor"
"29"	"ID_100029"	"einen großen Hund."	"Hund"	"einen großen Hund."	"Hund"	"Das ist eine große Ehre für ihn."	"Direktor"	"Der hat die Schule verlassen."	"Direktor"	"Der hat eine neue Schule gegründet."	"Direktor"	"Der hat gerade das Schulgebäude durch den Haupteingang betreten."	"Direktor"	"Der hat einen neuen Job bekommen."	"Direktor"	"Der hat einen neuen Job bekommen."	"Direktor"	"Der hat einen wichtigen Preis gewonnen."	"Direktor"
"30"	"ID_100030"	"einen großen Hund."	"Hund"	"einen großen Hund."	"Hund"	"Den Direktor will der Schüler begrüßen. Der hat ihn eingeladen, um sein Engagement in der Theatergruppe zu loben."	"Direktor"	"Der hat die Schule verlassen."	"Direktor"	"Der hat versäumt, den Direktor zu begrüßen."	"Schüler"	"Der hat gerade das Schulgelände betreten."	"Direktor"	"Der hat einen neuen Job bekommen."	"Direktor"	"Der hat einen wichtigen Preis gewonnen."	"Direktor"	"Der hat einen Feierabend."	"Direktor"
"31"	"ID_100031"	"einen großen Schuh verloren."	"Auf \"Clown\""	"Der hat einen großen Schnurrbart und ein rotes Nasenkostüm."	"Auf \"Clown\""	"Er hat eine Vorstellung gegeben."	"Auf \"Komödiant\""	"Den Clown will der Komödiant einladen. Der hat eine große Show organisiert."	"Auf \"Komödiant\""	"Den Clown will der Komödiant einladen. Der hat gerade eine Vorstellung beendet."	"Auf \"Clown\""	"Der hat gerade eine Tournee durch das Land abgeschlossen."	"Clown"	"Der hat eine Party geplant."	"Auf \"Komödiant\""	"Der hat einen Sinn für Humor."	"Auf \"Komödiant\""	"Der hat einen Sinn für Humor."	"Auf \"Komödiant\""
"32"	"ID_100032"	"einen großen Schuh verloren."	"Clown"	"Der hat eine Vorstellung gegeben."	"Clown"	"Der hat ein neues Programm vorbereitet."	"Komödiant"	"Den Clown will der Komödiant einladen. Der hat eine große Show organisiert."	"Komödiant"	"Den Clown will der Komödiant einladen. Der hat einen großen Sinn für Humor."	"Clown"	"Der hat schon zahlreiche Zirkusvorstellungen zum Lachen gebracht."	"Clown"	"Der hat eine Party geplant."	"Komödiant"	"Der hat eine Party geplant."	"Komödiant"	"Der hat einen großen Sinn für Humor."	"Komödiant"
"33"	"ID_100033"	"einen großen Schuh verloren."	"Clown"	"einen großen Schuh verloren."	"Clown"	"Der hat eine Vorstellung gegeben, die alle zum Lachen gebracht hat."	"Clown"	"Den Clown will der Komödiant einladen. Der hat eine große Show organisiert."	"Komödiant"	"Den Clown will der Komödiant einladen. Der hat viel Erfahrung im Zirkus."	"Clown"	"Der hat die beste Nummer für die bevorstehende Show."	"Clown"	"Der hat eine Party geplant."	"Komödiant"	"Der hat einen Sinn für Humor."	"Komödiant"	"Der hat einen witzigen Sinn für Humor."	"Komödiant"
"34"	"ID_100034"	"einen großen Schuh verloren."	"Clown"	"einen neuen Witz erzählt."	"Witz"	"ein Lied über ihn geschrieben."	"Clown"	"Den Clown will der Komödiant einladen. Der hat eine große Show organisiert."	"Komödiant"	"Der hat viele Vorstellungen."	"Komödiant"	"Der hat allerdings schon andere Verpflichtungen und kann nicht kommen."	"Clown"	"Der hat eine Party geplant."	"Komödiant"	"Der hat eine Party geplant."	"Komödiant"	"Der hat einen Sinn für Humor."	"Komödiant"
"35"	"ID_100035"	"einen großen Schuh verloren."	"Clown"	"Der hat eine Vorstellung in der Stadt gegeben."	"Clown"	"den Zirkus verlassen."	"Clown"	"Den Clown will der Komödiant einladen. Der hat eine große Show organisiert."	"Komödiant"	"Den Clown will der Komödiant einladen. Der hat den Kopf voll Scherze."	"Clown"	"Der hat die besten Witze und sorgt immer für eine ausgelassene Stimmung."	"Clown"	"Der hat eine Party geplant."	"Komödiant"	"Der hat einen Sinn für Humor."	"Komödiant"	"Der hat eine Party geplant."	"Komödiant"
"36"	"ID_100036"	"einen großen Schuh verloren."	"Clown"	"einen großen Schuh verloren."	"Clown"	"Die Clownspantomime in einem Zirkus gezeigt."	"Clownspantomime"	"Den Clown will der Komödiant einladen. Der hat eine große Show organisiert."	"Komödiant"	"Den Clown will der Komödiant einladen. Der hat eine erstaunliche Akrobatikleistung gezeigt."	"Clown"	"Der hat das Publikum schon bei vielen Gelegenheiten zum Lachen gebracht."	"Satz"	"Der hat eine Party geplant."	"Komödiant"	"Der hat einen großen Sinn für Humor."	"Komödiant"	"Der hat einen einzigartigen Sinn für Humor."	"Komödiant"
"37"	"ID_100037"	"Dieser ist gerade in einem wichtigen Telefonat."	"Auf \"Chef\""	"Dieser ist gerade in einem wichtigen Gespräch."	"Auf \"Chef\""	"bei einer wichtigen Besprechung."	"Auf \"Chef\""	"Er ist im Meeting."	"Auf \"Chef\""	"Er ist mit einer dringenden Angelegenheit beschäftigt."	"Auf \"Chef\""	"Dieser ist gerade in einer wichtigen Besprechung."	"Chef"	"Dieser ist immer sehr beschäftigt."	"Auf \"Chef\""	"Dieser ist immer beschäftigt."	"Auf \"Chef\""	"Dieser ist immer beschäftigt."	"Auf \"Chef\""
"38"	"ID_100038"	"Dieser ist gerade in einem wichtigen Telefonat."	"Chef"	"Dieser ist gerade in einem wichtigen Gespräch."	"Chef"	"Dieser ist gerade in einem wichtigen Telefonat."	"Chef"	"Er ist im Meeting."	"Chef"	"Er ist im Meeting."	"Chef"	"Dieser ist gerade in einer wichtigen Besprechung."	"Satz"	"Dieser ist immer sehr beschäftigt."	"Chef"	"Dieser ist immer beschäftigt."	"Chef"	"Er ist in einem wichtigen Telefongespräch."	"Chef"
"39"	"ID_100039"	"Dieser ist gerade in einem wichtigen Telefonat."	"Chef"	"Dieser ist gerade in einem wichtigen Telefonat."	"Chef"	"Dieser ist gerade in einem wichtigen Telefonat."	"Chef"	"Er ist im Meeting."	"Chef"	"Er ist in einem wichtigen Meeting."	"Chef"	"Dieser ist gerade in einer wichtigen Besprechung."	"habe"	"Dieser ist immer sehr beschäftigt."	"Chef"	"Dieser ist immer beschäftigt."	"Chef"	"Dieser ist in einem wichtigen Telefongespräch."	"Chef"
"40"	"ID_100040"	"Dieser ist gerade in einem wichtigen Telefonat."	"Chef"	"Dieser ist gerade in einem wichtigen Gespräch."	"Chef"	"Dieser ist in einer wichtigen Besprechung."	"Chef"	"Er ist im Meeting."	"Chef"	""	"Chef"	"Dieser ist gerade in einer wichtigen Besprechung."	"Antwortsatz"	"Dieser ist immer sehr beschäftigt."	"Chef"	"Dieser ist besorgt über einen wichtigen Termin."	"Chef"	"Dieser ist immer beschäftigt und hat keine Zeit für Störungen."	"Chef"
"41"	"ID_100041"	"Dieser ist gerade in einem wichtigen Telefonat."	"Chef"	"Dieser ist gerade in einem wichtigen Telefonat."	"Chef"	"auf einer Geschäftsreise."	"Chef"	"Er ist im Meeting."	"Chef"	"Er ist am Telefon."	"Chef"	"Dieser ist gerade in einer wichtigen Besprechung."	"habe"	"Dieser ist immer sehr beschäftigt."	"Chef"	"Dieser ist immer sehr beschäftigt."	"Chef"	"Dieser ist mit einem wichtigen Telefonanruf beschäftigt."	"Chef"
"42"	"ID_100042"	"Dieser ist gerade in einem wichtigen Telefonat."	"Chef"	"Dieser ist gerade in einem wichtigen Gespräch."	"Chef"	"dabei ein Telefonat zu führen."	"Chef"	"Er ist im Meeting."	"Chef"	"Er ist im Meeting."	"Chef"	"Dieser ist gerade in einer wichtigen Besprechung."	"habe"	"Dieser ist immer sehr beschäftigt."	"Chef"	"Dieser ist gerade in einem wichtigen Telefonat."	"Chef"	"Dieser ist der Chef."	"Chef"
"43"	"ID_100043"	"Dieser ist für seine Reden bekannt."	"Auf \"Politiker\""	"Dieser ist für seine Reden bekannt."	"Auf \"Politiker\""	"dieser ist von einem Auto angefahren worden."	"Auf \"Politiker\""	"Den Politiker will der Künstler zeichnen. Dieser ist ein bekannter Politiker."	"Auf \"Politiker\""	"Den Politiker will der Künstler zeichnen. Dieser ist heute in den Nachrichten."	"Auf \"Politiker\""	"Dieser ist für seine charismatische Ausstrahlung bekannt."	"Politiker"	"Dieser ist bekannt für seine kontroversen Aussagen."	"Auf \"Künstler\""	"Dieser ist bekannt für seine kontroversen Äußerungen."	"Auf \"Künstler\""	"Dieser ist bekannt für seine kontroversen Aussagen."	"Auf \"Künstler\""
"44"	"ID_100044"	"Dieser ist für seine Reden bekannt."	"Politiker"	"Dieser ist für seine provokanten Reden bekannt."	"Politiker"	"Dieser ist in einem Skandal verwickelt."	"Politiker"	"Den Politiker will der Künstler zeichnen. Dieser ist ein bekannter Politiker."	"Politiker"	"Den Politiker will der Künstler zeichnen. Dieser ist berühmt für seine Karikaturen."	"Künstler"	"Dieser ist für seine markanten Gesichtszüge bekannt."	"Politiker"	"Dieser ist bekannt für seine kontroversen Aussagen."	"Künstler"	"Dieser ist bekannt für seine kontroversen Aussagen."	"Politiker"	"Der Künstler möchte ihn porträtieren."	"Künstler"
"45"	"ID_100045"	"Dieser ist für seine Reden bekannt."	"Politiker"	"Dieser ist für seine Reden bekannt."	"Politiker"	"Dieser ist für seine politischen Reden berühmt."	"Politiker"	"Den Politiker will der Künstler zeichnen. Dieser ist ein bekannter Politiker."	"Politiker"	"Den Politiker will der Künstler zeichnen. Dieser ist sehr bekannt."	"Politiker"	"Dieser ist bekannt für seine charismatische Ausstrahlung."	"Politiker"	"Dieser ist bekannt für seine kontroversen Aussagen."	"Künstler"	"Dieser ist bekannt für seine kontroversen Aussagen."	"Künstler"	"Dieser ist für seine politischen Ansichten bekannt."	"Politiker"
"46"	"ID_100046"	"Dieser ist für seine Reden bekannt."	"Politiker"	"Dieser ist für seine provokanten Reden bekannt."	"Politiker"	"Dieser ist auf der Bühne eingeschlafen."	"Politiker"	"Den Politiker will der Künstler zeichnen. Dieser ist ein bekannter Politiker."	"Politiker"	"Er ist sehr bekannt."	"Politiker"	"Dieser ist für seine markanten Gesichtszüge bekannt."	"Künstler"	"Dieser ist bekannt für seine kontroversen Aussagen."	"Künstler"	"Dieser ist bekannt für seine kontroversen Äußerungen."	"Künstler"	"Dieser ist bekannt für seine bahnbrechenden Ideen."	"Künstler"
